Ward Name,La Name,Ward Code,La Code
Inverclyde East,Inverclyde,S12000018,S13003011
Inverclyde East Central,Inverclyde,S13003012,S12000018
Inverclyde Central,Inverclyde,S13003013,S12000018
Inverclyde North,Inverclyde,S13003014,S12000018
Inverclyde South,Inverclyde,S13003017,S12000018
Inverclyde South West,Inverclyde,S13003016,S12000018
Inverclyde West,Inverclyde,S13003015,S12000018
