Ward Name,La Name,Ward Code,La Code
Steòrnabhagh a Deas,Na h-Eileanan Siar,S12000013,S13002605
Steòrnabhagh a Tuath,Na h-Eileanan Siar,S13002606,S12000013
Loch a Tuath,Na h-Eileanan Siar,S13002607,S12000013
Sgire an Rubha,Na h-Eileanan Siar,S13002604,S12000013
An Taobh Siar agus Nis,Na h-Eileanan Siar,S13002608,S12000013
Sgir'Uige agus Ceann a Tuath nan Loch,Na h-Eileanan Siar,S13002603,S12000013
Na Hearadh agus Ceann a Deas nan Loch,Na h-Eileanan Siar,S13002602,S12000013
Beinn na Foghla agus Uibhist a Tuath,Na h-Eileanan Siar,S13002601,S12000013
"Barraigh, Bhatarsaigh, Eirisgeigh agus Uibhist a Deas",Na h-Eileanan Siar,S13002600,S12000013
